Member_number,neighborhood
1000,"[2272, 403, 2267, 2631, 2722]"
1001,"[1293, 353, 2804, 92, 3100]"
1002,"[2758, 907, 1868, 2910, 3607]"
1003,"[1884, 56, 192, 449, 816]"
1004,"[1959, 1309, 1674, 480, 2505]"
1005,"[3144, 1015, 1670, 96, 374]"
1006,"[1733, 3268, 3789, 2558, 2743]"
1008,"[333, 820, 2058, 3149, 2942]"
1009,"[1546, 770, 1037, 2835, 504]"
1010,"[3031, 982, 2091, 3304, 1314]"
